Dimension,Man5,Man50,Man95,Woman5,Woman50,Woman95
FootLength,198.0,211.3,224.5,177.6,190.8,204.1
LowerLeg,377.1,417.2,457.3,336.8,373.5,410.1
ThighLength,444.9,504.6,564.3,400.4,456.7,513.1
TorsoHeight,421.6,447.9,474.1,389.2,413.8,438.3
UpperArm,346.6,376.7,406.7,312.5,341.5,370.6
Forearm,332.7,365.5,398.4,291.4,325.5,359.7
